City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saipan,15.1355,145.701,28.39,61,75,9.77,MP,1708310674
1,margaret river,-33.95,115.0667,27.36,42,100,4.0,AU,1708310675
2,lionel town,17.8101,-77.2406,27.94,84,46,3.12,JM,1708310675
3,keflavik,64.0049,-22.5624,4.24,93,75,3.09,IS,1708310676
4,stanley,54.868,-1.6985,9.04,85,20,3.09,GB,1708310537
5,vorgashor,67.5833,63.95,-11.04,92,100,8.4,RU,1708310677
6,ancud,-41.8697,-73.8203,13.18,75,7,1.08,CL,1708310677
7,vadso,70.0744,29.7487,-2.91,86,100,8.75,NO,1708310678
8,puerto aysen,-45.4,-72.7,13.15,82,100,1.2,CL,1708310678
9,georgetown,5.4112,100.3354,29.97,79,20,2.06,MY,1708310634
10,iqaluit,63.7506,-68.5145,-33.15,68,20,11.83,CA,1708310650
11,adamstown,-25.066,-130.1015,24.92,76,100,3.28,PN,1708310680
12,ornskoldsvik,63.2909,18.7153,-6.47,93,100,1.54,SE,1708310680
13,waitangi,-43.9535,-176.5597,19.9,85,11,12.14,NZ,1708310681
14,bredasdorp,-34.5322,20.0403,17.52,90,19,3.76,ZA,1708310681
15,invercargill,-46.4,168.35,12.23,78,37,10.28,NZ,1708310682
16,pamandzi,-12.7967,45.2794,27.88,83,75,2.57,YT,1708310682
17,hermanus,-34.4187,19.2345,19.33,84,15,5.96,ZA,1708310683
18,crozet,38.0696,-78.7006,4.48,50,94,2.0,US,1708310683
19,nouadhibou,20.931,-17.0347,19.99,83,5,6.69,MR,1708310684
20,klaksvik,62.2266,-6.589,7.51,97,100,6.42,FO,1708310684
21,selfoss,63.9331,-20.9971,3.8,98,100,1.81,IS,1708310685
22,gobabis,-22.45,18.9667,24.45,47,100,4.66,NA,1708310685
23,haiku-pauwela,20.9219,-156.3051,21.81,65,18,7.6,US,1708310686
24,tiksi,71.6872,128.8694,-36.65,96,48,3.26,RU,1708310686
25,uliastay,47.7417,96.8444,-25.1,68,0,2.0,MN,1708310687
26,naze,28.3667,129.4833,20.51,79,83,7.1,JP,1708310687
27,bethel,41.3712,-73.414,0.92,62,7,4.97,US,1708310688
28,lobujya,27.95,86.8167,-8.71,45,46,1.67,NP,1708310688
29,talnakh,69.4865,88.3972,-19.89,85,100,7.92,RU,1708310689
30,port-aux-francais,-49.35,70.2167,4.69,79,79,7.99,TF,1708310689
31,la'ie,21.6477,-157.9253,24.98,54,3,2.68,US,1708310690
32,hithadhoo,-0.6,73.0833,28.64,80,98,5.74,MV,1708310691
33,khandyga,62.6667,135.6,-31.78,90,100,1.0,RU,1708310691
34,isafjordur,66.0755,-23.124,3.54,85,100,2.07,IS,1708310691
35,masina,-4.3836,15.3914,23.68,92,100,0.55,CD,1708310692
36,ribeira grande,38.5167,-28.7,17.1,89,5,6.26,PT,1708310692
37,smidovich,48.6,133.8167,-9.66,86,100,4.65,RU,1708310693
38,noosa heads,-26.3833,153.15,30.19,66,26,4.21,AU,1708310632
39,al bawiti,28.3492,28.8659,10.67,85,0,3.2,EG,1708310694
40,avarua,-21.2078,-159.775,27.03,65,100,6.17,CK,1708310694
41,porto novo,6.4965,2.6036,28.9,85,5,2.6,BJ,1708310695
42,klyuchi,52.2667,79.1667,-26.5,97,11,2.6,RU,1708310695
43,rodolfo sanchez taboada,31.7167,-116.5667,14.5,70,85,1.6,MX,1708310696
44,edinburgh of the seven seas,-37.0676,-12.3116,14.65,59,86,9.08,SH,1708310696
45,nadi,-17.8,177.4167,30.0,79,75,2.06,FJ,1708310698
46,smithers,54.7804,-127.1743,1.18,69,100,0.0,CA,1708310698
47,hawaiian paradise park,19.5933,-154.9731,21.04,80,100,4.63,US,1708310699
48,paita,-5.0892,-81.1144,25.73,82,81,4.17,PE,1708310699
49,whitehorse,60.7161,-135.0538,-2.57,64,75,6.71,CA,1708310700
50,albany,42.6001,-73.9662,-0.23,56,85,0.89,US,1708310700
51,san martin de los andes,-40.1604,-71.3486,19.33,35,5,0.9,AR,1708310701
52,thompson,55.7435,-97.8558,-22.91,77,40,1.54,CA,1708310702
53,somanda,-3.3667,33.95,18.58,95,100,2.18,TZ,1708310703
54,remire-montjoly,4.9167,-52.2667,26.02,89,75,2.57,GF,1708310704
55,iskateley,67.6803,53.1512,-8.97,94,100,5.71,RU,1708310704
56,ust-nera,64.5667,143.2,-29.22,93,100,1.15,RU,1708310705
57,sao jose da coroa grande,-8.8978,-35.1478,27.25,85,100,3.97,BR,1708310706
58,bilibino,68.0546,166.4372,-22.44,80,44,1.94,RU,1708310707
59,yellowknife,62.456,-114.3525,-19.71,71,75,2.57,CA,1708310707
60,tarkwa,5.3064,-1.9847,25.31,94,81,0.47,GH,1708310708
61,belyy yar,53.6039,91.3903,-28.06,76,59,2.0,RU,1708310708
62,dryden,49.7833,-92.7503,-13.84,66,20,2.57,CA,1708310709
63,aleksandrovsk-sakhalinskiy,50.8975,142.1561,-8.57,93,100,3.42,RU,1708310709
64,lospalos,-8.5186,127.0025,29.64,63,47,5.55,TL,1708310710
65,jawf al maqbabah,13.8378,45.8349,20.25,58,7,1.14,YE,1708310711
66,luderitz,-26.6481,15.1594,16.56,78,0,3.65,NA,1708310711
67,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,60,0,4.47,RU,1708310712
68,dzhetygara,52.1908,61.2006,-25.72,95,7,2.03,KZ,1708310490
69,grytviken,-54.2811,-36.5092,3.58,88,98,6.66,GS,1708310714
70,luanda,-8.8368,13.2343,28.0,89,20,2.57,AO,1708310715
71,puerto natales,-51.7236,-72.4875,11.42,89,100,1.86,CL,1708310690
72,longyearbyen,78.2186,15.6401,-13.09,66,40,9.26,SJ,1708310716
73,kodiak,57.79,-152.4072,4.73,93,100,2.57,US,1708310716
74,seven pagodas,12.6264,80.1722,25.03,66,22,1.46,IN,1708310717
75,rabo de peixe,37.8,-25.5833,17.77,99,20,2.06,PT,1708310717
76,blackmans bay,-43.0167,147.3167,18.07,66,91,4.29,AU,1708310718
77,ola,59.5833,151.2833,-19.37,65,99,2.23,RU,1708310719
78,aasiaat,68.7098,-52.8699,-15.61,95,93,2.76,GL,1708310719
79,filingue,14.3521,3.3168,21.28,11,18,4.74,NE,1708310721
80,darab,28.7519,54.5444,8.21,26,0,0.93,IR,1708310721
81,tura,25.5198,90.2201,23.15,25,7,0.6,IN,1708310722
82,sitka,57.0531,-135.33,8.94,66,100,0.0,US,1708310722
83,baikunthpur,23.25,82.55,22.48,31,35,1.84,IN,1708310723
84,cabo san lucas,22.8909,-109.9124,24.17,35,0,2.06,MX,1708310434
85,lata,40.1629,-8.3327,12.82,89,35,1.34,PT,1708310724
86,vitebsk,55.1905,30.2033,-7.91,98,70,0.53,BY,1708310726
87,yunyang,33.4474,112.7142,7.91,41,100,8.86,CN,1708310727
88,olonkinbyen,70.9221,-8.7187,0.11,96,98,4.36,SJ,1708310727
89,schwarmstedt,52.68,9.6254,8.5,100,100,8.19,DE,1708310728
90,tommot,58.9564,126.2925,-26.96,85,100,4.73,RU,1708310729
91,saint-francois,46.4154,3.9054,9.12,94,100,1.54,FR,1708310729
92,al wafrah,28.6392,47.9306,13.0,48,0,3.71,KW,1708310730
93,langzhong,31.5504,105.9938,10.45,42,100,3.86,CN,1708310731
94,san patricio,28.017,-97.5169,10.5,54,0,2.07,US,1708310731
95,ushuaia,-54.8,-68.3,8.81,61,40,4.63,AR,1708310521
96,salinas,36.6777,-121.6555,17.45,86,75,9.77,US,1708310637
97,saint-louis,16.3333,-15.0,26.39,12,1,5.18,SN,1708310733
98,garbahaarrey,3.3289,42.2209,25.58,71,74,3.52,SO,1708310733
99,sukhoy log,56.9094,62.0296,-15.45,77,2,4.1,RU,1708310734
100,wailua homesteads,22.0669,-159.378,25.24,55,20,9.26,US,1708310734
101,abepura,-2.6333,140.5833,29.45,70,20,1.54,ID,1708310736
102,susuman,62.7833,148.1667,-29.45,87,100,1.34,RU,1708310736
103,cockburn town,21.4612,-71.1419,26.01,84,1,8.68,TC,1708310737
104,kalevala,65.2,31.1667,-15.51,94,55,2.68,RU,1708310738
105,lebu,-37.6167,-73.65,13.85,87,0,7.65,CL,1708310738
106,yeppoon,-23.1333,150.7333,29.88,68,100,6.85,AU,1708310739
107,la sarre,48.8002,-79.1996,-17.45,89,100,4.58,CA,1708310739
108,krivosheino,57.3431,83.9261,-30.8,100,61,0.73,RU,1708310740
109,qaqortoq,60.7167,-46.0333,-3.68,77,100,3.21,GL,1708310740
110,san rafael del yuma,18.4299,-68.6739,25.11,89,1,3.17,DO,1708310741
111,tamanrasset,22.785,5.5228,9.95,25,0,2.06,DZ,1708310742
112,happy valley-goose bay,53.3168,-60.3315,-11.83,85,100,4.12,CA,1708310742
113,punta arenas,-53.15,-70.9167,12.06,76,20,3.09,CL,1708310556
114,vila franca do campo,37.7167,-25.4333,18.27,99,100,2.95,PT,1708310743
115,hobyo,5.3505,48.5268,25.32,68,64,6.99,SO,1708310744
